scenario,eirp_dbm,interferer_count,mean_signal_dbm,mean_interference_dbm,noise_dbm,mean_sinr_db,mean_linear_sinr_db,median_sinr_db,p05_sinr_db,p95_sinr_db,outage_lt_0_db,outage_lt_3_db
baseline,55.0,46,-102.16379373114958,-88.98748806968344,-100.01029995663981,-13.419491054172203,-12.870146855749791,-13.413398236395665,-17.013489910981345,-9.841735441666458,1.0,1.0
baseline,55.0,47,-102.16379373114958,-88.86708302769978,-100.01029995663981,-13.533403235821568,-12.992567340477436,-13.54154408256623,-17.149224349370545,-9.965274039324745,1.0,1.0
baseline,55.0,48,-102.16379373114958,-88.77891169595668,-100.01029995663981,-13.613689494974132,-13.06317867262391,-13.60562117036408,-17.24193847405021,-10.099528241896556,1.0,1.0
baseline,55.0,49,-102.16379373114958,-88.69298159641085,-100.01029995663981,-13.696875836159533,-13.150236370639089,-13.682229702942287,-17.300943481484737,-10.089039701550538,1.0,1.0
baseline,55.0,50,-102.16379373114958,-88.5936545901844,-100.01029995663981,-13.790413504004496,-13.251723488357028,-13.77411555141748,-17.34519755262453,-10.247376940832611,1.0,1.0
baseline,60.0,0,-97.18941156262426,-300.0,-100.01029995663981,2.820888394015545,3.2837716874726626,2.837050268177519,-0.5118935490014155,6.137826101349199,0.0826,0.5319
baseline,60.0,1,-97.18941156262426,-100.5506837240666,-100.01029995663981,0.5775551208935196,1.3539613481637072,0.8155059410859327,-4.212633306241692,4.643014299771894,0.3791,0.8222
baseline,60.0,2,-97.18941156262426,-97.54893737848384,-100.01029995663981,-1.0171963445331444,-0.14971956342122714,-0.8473098369372716,-5.9983520785498845,3.3256289585312278,0.617,0.933
baseline,60.0,3,-97.18941156262426,-95.80458930244178,-100.01029995663981,-2.221776612655055,-1.3281189658846007,-2.090755697985966,-7.095500016764351,2.259399118963299,0.7759,0.9745
baseline,60.0,4,-97.18941156262426,-94.57753996887739,-100.01029995663981,-3.1903688845916256,-2.3096747831047932,-3.1007986942869272,-7.990121296087303,1.2139327523334282,0.8735,0.9907
baseline,60.0,5,-97.18941156262426,-93.64185825344835,-100.01029995663981,-3.9783631053087083,-3.1230552163217236,-3.9165540403309924,-8.625173397035843,0.4532078930643332,0.9295,0.9957
baseline,60.0,6,-97.18941156262426,-92.83264809269076,-100.01029995663981,-4.682435215047623,-3.838501209051252,-4.604833448478742,-9.394395072363686,-0.25875498370507677,0.9617,0.998
baseline,60.0,7,-97.18941156262426,-92.18245585696808,-100.01029995663981,-5.277054092095299,-4.4570365255213265,-5.193993245746772,-9.892778227610414,-0.993309922718503,0.9764,0.999
baseline,60.0,8,-97.18941156262426,-91.52932753673466,-100.01029995663981,-5.859640664485647,-5.061145239046125,-5.810693868051963,-10.35071018818629,-1.529074512617324,0.9882,0.9999
baseline,60.0,9,-97.18941156262426,-91.04066420120813,-100.01029995663981,-6.320472363705448,-5.533717986846495,-6.265798305168554,-10.728972448966443,-2.058349693904503,0.9941,0.9999
baseline,60.0,10,-97.18941156262426,-90.5724369871723,-100.01029995663981,-6.753996791143161,-5.984388862749286,-6.7477767567665925,-11.04822936488664,-2.538160096849713,0.9965,1.0
baseline,60.0,11,-97.18941156262426,-90.14996162513363,-100.01029995663981,-7.151784422213174,-6.414044570995262,-7.111899192200925,-11.466561592473555,-3.0480790469455834,0.9984,1.0
baseline,60.0,12,-97.18941156262426,-89.81122975203847,-100.01029995663981,-7.485609635840362,-6.758706210779106,-7.455224012884058,-11.724776593540781,-3.4308435645571334,0.9991,0.9999
baseline,60.0,13,-97.18941156262426,-89.44901117382176,-100.01029995663981,-7.8337564502921495,-7.10972027858263,-7.781164698005059,-12.069336548678816,-3.7656073934822847,0.9995,1.0
baseline,60.0,14,-97.18941156262426,-89.1573996407217,-100.01029995663981,-8.121877761194874,-7.4267167194228,-8.087479560136842,-12.268299012213248,-4.152080098710212,0.9996,1.0
baseline,60.0,15,-97.18941156262426,-88.77951835076304,-100.01029995663981,-8.477764697085792,-7.781125637685294,-8.467336047594618,-12.592105942514756,-4.385201095308101,0.9998,1.0
baseline,60.0,16,-97.18941156262426,-88.52140373758905,-100.01029995663981,-8.72829855584974,-8.033055101865845,-8.724107839194726,-12.869236330798662,-4.66805814082771,1.0,1.0
baseline,60.0,17,-97.18941156262426,-88.27217292789031,-100.01029995663981,-8.974217430986629,-8.3092272691293,-8.919203011531884,-13.004513722736593,-5.084471544375728,1.0,1.0
baseline,60.0,18,-97.18941156262426,-88.04325272010529,-100.01029995663981,-9.201696459903868,-8.542596043540433,-9.147685369856408,-13.257030175061985,-5.305604294720379,1.0,1.0
baseline,60.0,19,-97.18941156262426,-87.80383663245158,-100.01029995663981,-9.432341969362893,-8.762695861621637,-9.416707011115871,-13.431356071002659,-5.483840449173704,1.0,1.0
baseline,60.0,20,-97.18941156262426,-87.59151540679277,-100.01029995663981,-9.647908404353585,-8.993740130367172,-9.616115685916526,-13.643468554970953,-5.774695904024243,1.0,1.0
baseline,60.0,21,-97.18941156262426,-87.35870190558344,-100.01029995663981,-9.870662305540757,-9.230977249424217,-9.86405530998023,-13.83301072135727,-6.032621201425156,0.9999,1.0
baseline,60.0,22,-97.18941156262426,-87.14645389670203,-100.01029995663981,-10.083768599710307,-9.44773520343407,-10.04092559994887,-13.954886014875614,-6.2392480928029785,1.0,1.0
baseline,60.0,23,-97.18941156262426,-86.97595660028233,-100.01029995663981,-10.24624699149188,-9.616798126864413,-10.236696263733188,-14.203416398904212,-6.421895907199925,1.0,1.0
baseline,60.0,24,-97.18941156262426,-86.78568557964962,-100.01029995663981,-10.42774004770645,-9.794299972698528,-10.388219846072637,-14.399607312485593,-6.596310642257351,1.0,1.0
baseline,60.0,25,-97.18941156262426,-86.61061190368648,-100.01029995663981,-10.608005696419065,-9.992654865115373,-10.592415962994904,-14.428161102713839,-6.825395624448692,1.0,1.0
baseline,60.0,26,-97.18941156262426,-86.4457369906512,-100.01029995663981,-10.773493838335327,-10.164967113699625,-10.737697059741446,-14.626521361809191,-6.982268483452822,1.0,1.0
baseline,60.0,27,-97.18941156262426,-86.27485015477887,-100.01029995663981,-10.94145355593711,-10.33010653153993,-10.89741686606546,-14.737287064001013,-7.1590130842754975,1.0,1.0
baseline,60.0,28,-97.18941156262426,-86.11205557852071,-100.01029995663981,-11.099651313993562,-10.499139511473892,-11.077438980845278,-14.892073559395156,-7.372276077204713,1.0,1.0
baseline,60.0,29,-97.18941156262426,-85.96177624861167,-100.01029995663981,-11.250038814024816,-10.651995645285524,-11.225593581283977,-14.98668831314466,-7.482117217176235,1.0,1.0
baseline,60.0,30,-97.18941156262426,-85.8250572505969,-100.01029995663981,-11.383064616224477,-10.777880018506721,-11.371158147111126,-15.174947431403622,-7.613274669074029,1.0,1.0
baseline,60.0,31,-97.18941156262426,-85.67531612402487,-100.01029995663981,-11.532411242994625,-10.939203048395944,-11.487923196607806,-15.30530214914104,-7.797020893563147,1.0,1.0
baseline,60.0,32,-97.18941156262426,-85.52279087990932,-100.01029995663981,-11.684624802453579,-11.09441042445761,-11.66774710864981,-15.467747294625076,-7.9684984032901465,1.0,1.0
baseline,60.0,33,-97.18941156262426,-85.37622999381553,-100.01029995663981,-11.827878698801893,-11.242926315104713,-11.801806067613137,-15.579527319434492,-8.151263126758458,1.0,1.0
baseline,60.0,34,-97.18941156262426,-85.25694431450816,-100.01029995663981,-11.94897950450787,-11.361345776268067,-11.930430923637442,-15.773187909545717,-8.288533546016989,1.0,1.0
baseline,60.0,35,-97.18941156262426,-85.15891591531192,-100.01029995663981,-12.048856999663235,-11.46274792970845,-12.026128665867455,-15.845753621655351,-8.362755040091315,1.0,1.0
baseline,60.0,36,-97.18941156262426,-85.02524718897726,-100.01029995663981,-12.180305311420174,-11.595243497680809,-12.157713920339173,-15.945658345584459,-8.445057974506785,1.0,1.0
baseline,60.0,37,-97.18941156262426,-84.8965215398529,-100.01029995663981,-12.30773579112618,-11.736126316579703,-12.27236824345264,-15.998630114948783,-8.651865173632126,1.0,1.0
baseline,60.0,38,-97.18941156262426,-84.78555082031576,-100.01029995663981,-12.420682453501021,-11.852874076358365,-12.422472497415878,-16.08700326186542,-8.769783211129628,1.0,1.0
baseline,60.0,39,-97.18941156262426,-84.670742661407,-100.01029995663981,-12.533166489291244,-11.962088864722276,-12.518327600467194,-16.20763035513838,-8.864902993364103,1.0,1.0
baseline,60.0,40,-97.18941156262426,-84.56767206895968,-100.01029995663981,-12.636363948307881,-12.066347134361031,-12.603442814725536,-16.370304098419417,-8.993385550852542,1.0,1.0
baseline,60.0,41,-97.18941156262426,-84.45817324412914,-100.01029995663981,-12.743339574441515,-12.180782837354343,-12.699223483698113,-16.417744307996998,-9.071717231731611,1.0,1.0
baseline,60.0,42,-97.18941156262426,-84.36274523997639,-100.01029995663981,-12.840062589622548,-12.275176904455869,-12.8167838962749,-16.511327299542028,-9.186202272869055,1.0,1.0
baseline,60.0,43,-97.18941156262426,-84.26142865575478,-100.01029995663981,-12.93737939194077,-12.370343889079559,-12.927688127553221,-16.577364409111297,-9.316071639324493,1.0,1.0
baseline,60.0,44,-97.18941156262426,-84.14726012369596,-100.01029995663981,-13.052919741446129,-12.498385900936027,-13.032100922496586,-16.697688511536583,-9.423112611133805,1.0,1.0
baseline,60.0,45,-97.18941156262426,-84.05550303590196,-100.01029995663981,-13.143358618974604,-12.582820672159585,-13.145227699016813,-16.783973860579362,-9.520528653236564,1.0,1.0
baseline,60.0,46,-97.18941156262426,-83.9415847661026,-100.01029995663981,-13.254315250568977,-12.698107119433406,-13.234021646450431,-16.902042827967204,-9.601178729200864,1.0,1.0
