scenario,eirp_dbm,interferer_count,mean_signal_dbm,mean_interference_dbm,noise_dbm,mean_sinr_db,mean_linear_sinr_db,median_sinr_db,p05_sinr_db,p95_sinr_db,outage_lt_0_db,outage_lt_3_db
activity_reduction,50.0,35,-107.13822235273798,-98.16889822916258,-100.01029995663981,-11.041173782206668,-10.46709167489156,-11.042517571407755,-14.702756378289356,-7.38058549862336,1.0,1.0
activity_reduction,50.0,36,-107.13822235273798,-98.02697541287911,-100.01029995663981,-11.12535760850028,-10.548221486581406,-11.136536908888996,-14.895495779692256,-7.406399303321674,1.0,1.0
activity_reduction,50.0,37,-107.13822235273798,-97.9209299487326,-100.01029995663981,-11.197079894131567,-10.627296806098931,-11.195889643919969,-14.84416441500647,-7.523102351243912,1.0,1.0
activity_reduction,50.0,38,-107.13822235273798,-97.82546706242768,-100.01029995663981,-11.254384580026851,-10.6827370185243,-11.247308879704601,-14.949307260173132,-7.581034631133737,1.0,1.0
activity_reduction,50.0,39,-107.13822235273798,-97.71242011676947,-100.01029995663981,-11.325265203785843,-10.757656825061748,-11.310430178439143,-15.03351471408351,-7.641355352065512,1.0,1.0
activity_reduction,50.0,40,-107.13822235273798,-97.58896727353971,-100.01029995663981,-11.407500778511594,-10.827454005905144,-11.412628181916574,-15.157913416297552,-7.725444811095368,1.0,1.0
activity_reduction,50.0,41,-107.13822235273798,-97.5094007721848,-100.01029995663981,-11.457991288431328,-10.88451482125738,-11.44716427140007,-15.194996957810652,-7.830364867513806,1.0,1.0
activity_reduction,50.0,42,-107.13822235273798,-97.38171996666782,-100.01029995663981,-11.53691104055252,-10.96978790452596,-11.537902786413111,-15.218880108421644,-7.921605842912311,1.0,1.0
activity_reduction,50.0,43,-107.13822235273798,-97.2746179080331,-100.01029995663981,-11.608906929133122,-11.037611094744083,-11.573781052123447,-15.315787792809248,-7.967577280260928,1.0,1.0
activity_reduction,50.0,44,-107.13822235273798,-97.15478599240208,-100.01029995663981,-11.68872937240194,-11.119730236234712,-11.660088364793019,-15.362794441391745,-8.079838480459415,1.0,1.0
activity_reduction,50.0,45,-107.13822235273798,-97.07400453074037,-100.01029995663981,-11.739699763246849,-11.16193980683051,-11.72430702025037,-15.450662803281945,-8.032569819564216,1.0,1.0
activity_reduction,50.0,46,-107.13822235273798,-96.97240614175017,-100.01029995663981,-11.810621976856572,-11.239413897525006,-11.811240432585208,-15.514022207250735,-8.199445192881152,1.0,1.0
activity_reduction,50.0,47,-107.13822235273798,-96.86776378194004,-100.01029995663981,-11.878650090300148,-11.312596754835578,-11.863604444104219,-15.573053674536872,-8.218108442906269,1.0,1.0
activity_reduction,50.0,48,-107.13822235273798,-96.75973545010265,-100.01029995663981,-11.952298802356006,-11.381402363534527,-11.947666145786565,-15.647156774158413,-8.28541888690481,1.0,1.0
activity_reduction,50.0,49,-107.13822235273798,-96.66750015605956,-100.01029995663981,-12.017566814905631,-11.454810941031266,-12.016481354421781,-15.70426320328337,-8.40204947435306,1.0,1.0
activity_reduction,50.0,50,-107.13822235273798,-96.58932642507345,-100.01029995663981,-12.071489634701157,-11.50210774907847,-12.045256119895406,-15.77828020356619,-8.45602196153674,1.0,1.0
activity_reduction,55.0,0,-102.16379373114958,-300.0,-100.01029995663981,-2.1534937745097946,-1.6878530173730693,-2.149018694740077,-5.4602297622681775,1.149187245032463,0.8597,0.9944
